{'x': 5.058355113732622, 'y': 1.0162055510975785, 'theta': 103.71955209016204}
{'x': 5.058355113732622, 'y': 1.0162055510975785, 'theta': 103.71955209016204}
{'x': 5.043718917433175, 'y': 1.1070613815646801, 'theta': 103.49784265680694}
{'x': 5.032425311296853, 'y': 1.154384635024746, 'theta': 103.46488701159609}
{'x': 5.031082432999781, 'y': 1.2037562026976545, 'theta': 103.04849398959074}
{'x': 5.022860821043305, 'y': 1.2509094749085956, 'theta': 102.91375579119003}
{'x': 5.022860821043305, 'y': 1.2509094749085956, 'theta': 102.91375579119003}
{'x': 5.012296567419016, 'y': 1.2969453578301722, 'theta': 102.87654918940072}
{'x': 4.996647363180759, 'y': 1.3378770565758389, 'theta': 103.15848666339608}
{'x': 4.974659194848508, 'y': 1.4248115638623668, 'theta': 103.14472644517896}
{'x': 4.965320371490034, 'y': 1.4769324526189505, 'theta': 103.19138704109044}
{'x': 4.965320371490034, 'y': 1.4769324526189505, 'theta': 103.19138704109044}
{'x': 4.952114347262845, 'y': 1.5709132737073899, 'theta': 102.89355027160113}
{'x': 4.944373315972282, 'y': 1.6136656557641125, 'theta': 102.7980898375644}
{'x': 4.935233237467927, 'y': 1.6537058991294136, 'theta': 102.76441510943765}
{'x': 4.935233237467927, 'y': 1.6537058991294136, 'theta': 102.76441510943765}
{'x': 4.914743812659388, 'y': 1.7273379762863823, 'theta': 102.91263117435841}
{'x': 4.914743812659388, 'y': 1.7273379762863823, 'theta': 102.91263117435841}
{'x': 4.908969000097016, 'y': 1.765660843027931, 'theta': 102.80195647102609}
{'x': 4.894540163648891, 'y': 1.8382750118791844, 'theta': 102.63199808387316}
{'x': 4.888056297381965, 'y': 1.8722912042629187, 'theta': 102.500065926038}
{'x': 4.796990884570702, 'y': 2.1843641865076666, 'theta': 103.6978485378249}
{'x': 4.790017959761553, 'y': 2.2155332493058992, 'theta': 103.72953713218728}
{'x': 4.783165284870549, 'y': 2.243536192262366, 'theta': 103.69796243672576}
{'x': 4.776439971583327, 'y': 2.2710685018096424, 'theta': 103.6617643098441}
{'x': 4.766708446811945, 'y': 2.298842107216852, 'theta': 103.76486754796564}
{'x': 4.759380164596893, 'y': 2.3255750694960415, 'theta': 103.75213652770444}
{'x': 4.744276929259696, 'y': 2.385555166561176, 'theta': 103.72238792397562}
{'x': 4.744276929259696, 'y': 2.385555166561176, 'theta': 103.72238792397562}
{'x': 4.7375033194094005, 'y': 2.412721144166401, 'theta': 103.68273886263599}
{'x': 4.724985769152732, 'y': 2.464086943728005, 'theta': 103.51466677467123}
{'x': 4.718800607549987, 'y': 2.4897380255682986, 'theta': 103.4123370143766}
{'x': 4.718800607549987, 'y': 2.4897380255682986, 'theta': 103.4123370143766}
{'x': 4.707642306358892, 'y': 2.5362523355471374, 'theta': 103.21331701999517}
{'x': 4.7125503080240705, 'y': 2.559137899993173, 'theta': 102.65139624453221}
{'x': 4.707479101315413, 'y': 2.5814207163184006, 'theta': 102.53013202917184}
{'x': 4.702528171181733, 'y': 2.6033434107166435, 'theta': 102.41407803285098}
{'x': 4.697701877096493, 'y': 2.624917244756634, 'theta': 102.30831793810174}
{'x': 4.697701877096493, 'y': 2.624917244756634, 'theta': 102.30831793810174}
{'x': 4.687906832018999, 'y': 2.6625831699707745, 'theta': 102.08529723944855}
{'x': 4.687906832018999, 'y': 2.6625831699707745, 'theta': 102.08529723944855}
{'x': 4.678954154180232, 'y': 2.703846984834606, 'theta': 101.89801066835997}
{'x': 4.675281573190599, 'y': 2.7229356364912474, 'theta': 101.71757356984826}
{'x': 4.671958783682472, 'y': 2.7414167382918646, 'theta': 101.52182393443452}
{'x': 4.668083936133017, 'y': 2.760690556088741, 'theta': 101.42197945556212}
{'x': 4.668083936133017, 'y': 2.760690556088741, 'theta': 101.42197945556212}
{'x': 4.664125907892538, 'y': 2.7799413998714813, 'theta': 101.34893470942511}
{'x': 4.660257786777209, 'y': 2.798887696322529, 'theta': 101.28446730376977}
{'x': 4.655230033376844, 'y': 2.8410687980799567, 'theta': 100.84290395995059}
{'x': 4.655230033376844, 'y': 2.8410687980799567, 'theta': 100.84290395995059}
{'x': 4.651739555859162, 'y': 2.859034793445107, 'theta': 100.80484058501249}
{'x': 4.60704573983606, 'y': 3.086937964902087, 'theta': 101.35008554547217}
{'x': 4.6043868318318495, 'y': 3.1002775164170497, 'theta': 101.40416568525826}
{'x': 4.6043868318318495, 'y': 3.1002775164170497, 'theta': 101.40416568525826}
{'x': 4.600520305298482, 'y': 3.126521853170289, 'theta': 101.38120706117185}
{'x': 4.600520305298482, 'y': 3.126521853170289, 'theta': 101.38120706117185}
{'x': 4.59836749227077, 'y': 3.1391039537203396, 'theta': 101.40273008601977}
{'x': 4.593523021632855, 'y': 3.1632427956269176, 'theta': 101.51313387064559}
{'x': 4.591157544734357, 'y': 3.174940519732657, 'theta': 101.56756198612851}
{'x': 4.588828411472154, 'y': 3.1863951398834858, 'theta': 101.62132974989896}
{'x': 4.588828411472154, 'y': 3.1863951398834858, 'theta': 101.62132974989896}
{'x': 4.586854622802486, 'y': 3.20237769402551, 'theta': 101.36564164265972}
{'x': 4.58262466255859, 'y': 3.225272076875961, 'theta': 101.37320919013523}
{'x': 4.5805189269301625, 'y': 3.2357748202944254, 'theta': 101.40905818424926}
{'x': 4.5805189269301625, 'y': 3.2357748202944254, 'theta': 101.40905818424926}
{'x': 4.578452910195338, 'y': 3.246038579038202, 'theta': 101.44132690768636}
{'x': 4.576417631578039, 'y': 3.256117388289951, 'theta': 101.47029200847362}
{'x': 4.5735105455358465, 'y': 3.262741339174267, 'theta': 101.77062322901226}
{'x': 4.569272203146413, 'y': 3.281115911881252, 'theta': 101.87512389588507}
{'x': 4.569272203146413, 'y': 3.281115911881252, 'theta': 101.87512389588507}
{'x': 4.567299609460385, 'y': 3.290508965938441, 'theta': 101.8847027654255}
{'x': 4.565353837106898, 'y': 3.2997637792688232, 'theta': 101.88774445776484}
{'x': 4.5634395883505015, 'y': 3.3088609833838243, 'theta': 101.88329197460122}
{'x': 4.561562735262886, 'y': 3.3177776950032314, 'theta': 101.86888504246036}
{'x': 4.5597206010949005, 'y': 3.3265345147438143, 'theta': 101.84652380220474}
{'x': 4.55878762749386, 'y': 3.3311068839491726, 'theta': 102.03265319516657}
{'x': 4.5554254121159365, 'y': 3.3468371284420932, 'theta': 102.01337668514508}
{'x': 4.5554254121159365, 'y': 3.3468371284420932, 'theta': 102.01337668514508}
{'x': 4.553679544262637, 'y': 3.355022407949672, 'theta': 101.96846671485834}
